260407105525204,71
260407105525303,60
260407105525412,83
260407105525518,27
260407105525634,50
260407105525741,76
260407105525851,52
260407105525959,9
26040710552669,90
260407105526179,94
260407105526287,96
260407105526396,57
260407105526504,8
260407105526614,76
260407105526721,24
260407105526845,91
260407105526953,93
26040710552762,22
260407105527170,31
260407105527275,53
260407105527389,52
260407105527498,92
260407105527605,57
260407105527717,66
260407105527823,65
260407105527927,57
26040710552850,7
260407105528150,61
260407105528253,39
260407105528368,44
260407105528480,79
260407105528586,26
260407105528697,59
260407105528806,39
260407105528914,2
26040710552923,64
260407105529133,53
260407105529242,42
260407105529353,99
260407105529459,14
260407105529568,25
260407105529677,83
260407105529787,28
260407105529895,16
2604071055305,67
260407105530117,78
260407105530238,87
260407105530386,16
260407105530503,94
260407105530607,19
260407105530719,65
260407105530842,38
260407105530960,59
260407105531106,10
260407105531287,52
260407105531459,79
260407105531568,2
260407105531685,17
260407105531802,61
260407105531922,93
26040710553243,68
260407105532167,91
260407105532295,69
260407105532420,46
260407105532558,14
260407105532707,70
260407105532851,98
26040710553348,68
260407105533221,73
260407105533370,60
260407105533513,38
260407105533675,51
260407105533832,22
260407105533980,16
260407105534146,27
260407105534299,68
260407105534529,64
260407105534714,41
260407105534853,99
26040710553511,86
260407105535175,70
260407105535340,91
260407105535511,67
260407105535680,19
260407105535858,78
26040710553650,41
260407105536230,66
260407105536428,48
260407105536643,87
260407105536928,23
260407105537152,61
260407105537363,35
260407105537587,80
260407105537776,6
260407105537969,46
260407105538172,34
260407105538384,13
260407105538594,82
260407105538810,1
26040710553936,97
260407105539252,80
260407105539473,18
260407105539690,42
260407105539900,33
260407105540102,81
260407105540310,14
260407105540526,16
260407105540743,43
260407105540964,83
260407105541171,83
260407105541375,14
260407105541601,61
260407105541837,18
26040710554267,75
260407105542309,22
260407105542521,77
260407105542748,23
260407105623996,82
260407105624215,31
260407105624480,23
260407105624724,94
260407105624976,63
260407105625254,96
260407105625509,77
260407105625749,33
2604071056264,18
260407105626262,70
260407105626507,91
260407105626743,38
260407105626965,33
260407105627197,87
260407105627413,63
260407105627634,55
260407105627859,66
26040710562883,69
260407105628307,97
260407105628519,52
260407105628731,51
260407105628931,39
260407105629152,39
260407105629372,49
260407105629600,12
260407105629824,70
260407105637706,26
260407105637951,58
260407105638166,33
260407105638389,81
260407105638610,46
260407105638841,76
26040710563983,75
260407105639299,82
260407105639523,22
260407105639735,90
260407105639982,87
260407105640210,81
260407105640435,85
26040710591330,89
260407105913264,5
260407105913503,94
260407105913730,7
260407105913961,24
260407105914199,75
260407105914439,1
260407105914666,8
260407105914906,51
260407105915198,37
260407105915452,86
260407105915689,93
260407105915900,18
260407105916132,98
260407105916352,5
260407105916585,64
260407105916794,2
26040710591737,7
260407105917273,56
260407105917496,40
260407105917731,25
260407105917956,33
260407105918190,92
